學校名稱,一般教師(含客座及講座)-教授-男,一般教師(含客座及講座)-教授-女,一般教師(含客座及講座)-副教授-男
國立政治大學,197,108,138
國立政治大學,3,1,0
國立清華大學,344,94,146
國立清華大學,1,2,0
國立臺灣大學,873,270,309
國立臺灣師範大學,279,164,116
國立成功大學,537,116,294
國立中興大學,339,69,143
國立交通大學,337,51,133
國立中央大學,286,55,137
國立中山大學,194,53,92
國立臺灣海洋大學,170,23,93
國立中正大學,219,66,101
國立高雄師範大學,103,45,47
國立彰化師範大學,136,52,71
國立陽明大學,127,75,61
國立臺北大學,91,51,68
國立嘉義大學,156,51,94
國立高雄大學,93,21,51
國立東華大學,139,54,109
國立暨南國際大學,94,34,60
國立臺灣科技大學,221,35,101
國立臺灣科技大學,1,0,0
國立雲林科技大學,135,22,93
國立雲林科技大學,0,0,0
國立屏東科技大學,127,39,78
國立屏東科技大學,1,1,0
國立臺北科技大學,184,23,111
國立臺北科技大學,0,0,2
